water_name,county,raw_species,standardized_species,quantity,length,stock_date,source_year,lake_id,match_type,match_details
TOMAHAWK,SUMMIT,RAINBOW,Rainbows,100,10.01,2017-06-19,2017,,none,No match found
TRIAL L A-61,SUMMIT,RAINBOW,Rainbows,1538,10.03,2017-06-27,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,TIGER TROUT,Tigers,500,8.98,2017-06-27,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,RAINBOW,Rainbows,1499,9.75,2017-07-03,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,RAINBOW,Rainbows,750,10.6,2017-07-10,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,BROOK TROUT,Brookies,4002,2.29,2017-07-12,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,TIGER TROUT,Tigers,998,9.92,2017-07-12,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,TIGER TROUT,Tigers,998,9.92,2017-07-17,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,RAINBOW,Rainbows,748,10.98,2017-07-18,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,RAINBOW,Rainbows,750,10.77,2017-07-25,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,TIGER TROUT,Tigers,998,9.92,2017-07-31,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,RAINBOW,Rainbows,750,10.68,2017-07-31,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,RAINBOW,Rainbows,750,11.02,2017-08-08,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,TIGER TROUT,Tigers,1000,10.49,2017-08-14,2017,310,exact,Matched on letter-number: A-61
